Bubble, 1024, 0.238000
Merge, 1024, 0.008000
Quick, 1024, 0.004000
Bubble, 128, 0.005000
Merge, 128, 0.000000
Quick, 128, 0.001000
Bubble, 16, 0.000000
Merge, 16, 0.000000
Quick, 16, 0.000000
Bubble, 16384, 54.024000
Merge, 16384, 0.210000
Quick, 16384, 0.073000
Bubble, 2048, 0.831000
Merge, 2048, 0.017000
Quick, 2048, 0.008000
Bubble, 256, 0.015000
Merge, 256, 0.001000
Quick, 256, 0.001000
Bubble, 32, 0.000000
Merge, 32, 0.000000
Quick, 32, 0.000000
Bubble, 32768, 219.475000
Merge, 32768, 0.367000
Quick, 32768, 0.131000
Bubble, 4, 0.000000
Merge, 4, 0.000000
Quick, 4, 0.000000
Bubble, 4096, 3.251000
Merge, 4096, 0.035000
Quick, 4096, 0.015000
Bubble, 512, 0.052000
Merge, 512, 0.003000
Quick, 512, 0.002000
Bubble, 64, 0.001000
Merge, 64, 0.001000
Quick, 64, 0.000000
Bubble, 8, 0.001000
Merge, 8, 0.000000
Quick, 8, 0.000000
Bubble, 8192, 13.139000
Merge, 8192, 0.080000
Quick, 8192, 0.031000
