Bubble, 1024, 0.217000
Merge, 1024, 0.008000
Quick, 1024, 0.003000
Bubble, 128, 0.004000
Merge, 128, 0.001000
Quick, 128, 0.000000
Bubble, 16, 0.000000
Merge, 16, 0.000000
Quick, 16, 0.000000
Bubble, 16384, 53.074000
Merge, 16384, 0.168000
Quick, 16384, 0.073000
Bubble, 2048, 0.797000
Merge, 2048, 0.017000
Quick, 2048, 0.008000
Bubble, 256, 0.014000
Merge, 256, 0.001000
Quick, 256, 0.000000
Bubble, 32, 0.001000
Merge, 32, 0.000000
Quick, 32, 0.001000
Bubble, 32768, 217.434000
Merge, 32768, 0.370000
Quick, 32768, 0.131000
Bubble, 4, 0.000000
Merge, 4, 0.000000
Quick, 4, 0.000000
Bubble, 4096, 3.247000
Merge, 4096, 0.037000
Quick, 4096, 0.016000
Bubble, 512, 0.051000
Merge, 512, 0.004000
Quick, 512, 0.002000
Bubble, 64, 0.001000
Merge, 64, 0.000000
Quick, 64, 0.000000
Bubble, 8, 0.000000
Merge, 8, 0.000000
Quick, 8, 0.000000
Bubble, 8192, 13.221000
Merge, 8192, 0.078000
Quick, 8192, 0.032000
