Bubble, 1024, 0.206000
Merge, 1024, 0.009000
Quick, 1024, 0.004000
Bubble, 128, 0.003000
Merge, 128, 0.001000
Quick, 128, 0.000000
Bubble, 16, 0.000000
Merge, 16, 0.000000
Quick, 16, 0.000000
Bubble, 16384, 54.208000
Merge, 16384, 0.170000
Quick, 16384, 0.072000
Bubble, 2048, 0.799000
Merge, 2048, 0.016000
Quick, 2048, 0.008000
Bubble, 256, 0.014000
Merge, 256, 0.002000
Quick, 256, 0.000000
Bubble, 32, 0.001000
Merge, 32, 0.001000
Quick, 32, 0.001000
Bubble, 32768, 217.423000
Merge, 32768, 0.366000
Quick, 32768, 0.130000
Bubble, 4, 0.000000
Merge, 4, 0.000000
Quick, 4, 0.000000
Bubble, 4096, 3.256000
Merge, 4096, 0.039000
Quick, 4096, 0.016000
Bubble, 512, 0.051000
Merge, 512, 0.004000
Quick, 512, 0.003000
Bubble, 64, 0.001000
Merge, 64, 0.001000
Quick, 64, 0.001000
Bubble, 8, 0.000000
Merge, 8, 0.000000
Quick, 8, 0.000000
Bubble, 8192, 13.164000
Merge, 8192, 0.078000
Quick, 8192, 0.032000
